OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Return_to_owner,,Cat,Neutered Male,9 months,Domestic Shorthair Mix,White/Brown Tabby
Transfer,Partner,Dog,Spayed Female,4 years,Rat Terrier Mix,Black/White
Adoption,,Dog,Neutered Male,4 months,German Shepherd/Siberian Husky,Red/White
Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,White
Transfer,Partner,Dog,Intact Male,6 years,Dachshund,Blue Merle/White
Adoption,Foster,Dog,Spayed Female,2 months,Border Collie/Labrador Retriever,Black/White
Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
Return_to_owner,,Dog,Intact Female,2 years,Pit Bull Mix,Fawn
Adoption,,Dog,Neutered Male,4 months,Collie Smooth/Labrador Retriever,Tricolor
Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point/White
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Dog,Neutered Male,5 years,Plott Hound/Rhod Ridgeback,Brown Brindle
Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,2 years,Pointer/Labrador Retriever,Black/White
Adoption,,Dog,Spayed Female,10 months,Anatol Shepherd/Great Pyrenees,White
Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue
Return_to_owner,,Dog,Neutered Male,1 year,Anatol Shepherd,Fawn/Black
Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
Transfer,Partner,Dog,Spayed Female,7 years,Great Dane,Black/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Intact Female,3 years,Australian Cattle Dog Mix,Tricolor
Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Spayed Female,2 years,Chinese Sharpei/Australian Cattle Dog,Red Tick/White
Return_to_owner,,Dog,Intact Female,12 years,Labrador Retriever Mix,Yellow
Adoption,,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black
Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Unknown,6 days,Labrador Retriever Mix,White
Return_to_owner,,Dog,Spayed Female,9 months,Rat Terrier Mix,Tricolor
Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White
Euthanasia,Aggressive,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White
Return_to_owner,,Dog,Neutered Male,7 years,American Bulldog Mix,White
Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Blue
Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan
Adoption,,Dog,Spayed Female,2 years,Pointer/Labrador Retriever,Chocolate/White
Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
Adoption,,Cat,Neutered Male,5 months,Siamese Mix,Flame Point
Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever,Buff/Tan
Transfer,Partner,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black
Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair/Rat Terrier,White/Tan
Euthanasia,Aggressive,Dog,Intact Male,3 years,Rottweiler Mix,Black/Tan
Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
Transfer,Partner,Dog,Spayed Female,2 years,Labrador Retriever,Black
Adoption,,Dog,Neutered Male,1 year,Boxer Mix,Brown/White
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby
Adoption,,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,White/Tan
Return_to_owner,,Dog,Intact Male,9 months,Pit Bull/Dogue De Bordeaux,Red/White
Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Chow Chow,Brown
Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
Adoption,,Dog,Neutered Male,2 years,Bernese Mountain Dog/Rottweiler,Tricolor
Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,4 months,Plott Hound Mix,Brown Brindle/Red Tick
Return_to_owner,,Dog,Intact Male,3 years,English Bulldog,Brown Brindle
Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
Transfer,Partner,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Tan
Return_to_owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair,Brown
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown
Adoption,,Dog,Spayed Female,6 months,Pointer Mix,White/Blue
Adoption,,Dog,Neutered Male,3 months,Chihuahua Longhair/Italian Greyhound,Tricolor
Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever/Blue Lacy,Chocolate/White
Transfer,Partner,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/Tan
Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
Return_to_owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
Adoption,,Cat,Intact Male,2 months,Siamese Mix,Lilac Point
Return_to_owner,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Blue/White
Return_to_owner,,Dog,Neutered Male,2 years,Dachshund/Catahoula,Brown Brindle/White
Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair Mix,Brown/Black
Euthanasia,Suffering,Cat,Spayed Female,12 years,Domestic Longhair Mix,Tortie
Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
Euthanasia,Suffering,Dog,Intact Female,8 months,Labrador Retriever Mix,Black
Euthanasia,Suffering,Cat,Intact Female,10 years,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Buff/White
Return_to_owner,,Dog,Neutered Male,1 year,Blue Lacy/Pit Bull,Blue/White
Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Lilac Point
Adoption,,Dog,Spayed Female,7 years,Miniature Poodle Mix,White
Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Brown
Return_to_owner,,Dog,Intact Female,4 months,Boxer Mix,Brown Brindle/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Orange Tabby
Transfer,Partner,Cat,Spayed Female,2 years,Exotic Shorthair Mix,White/Orange Tabby
Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,4 days,Domestic Shorthair Mix,Torbie
Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Spayed Female,5 months,Siamese Mix,Tortie Point
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Aggressive,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
Transfer,Partner,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Brown/Black
Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/Tan
Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Chinese Sharpei,Black
Return_to_owner,,Dog,Intact Male,6 years,Basset Hound,Tricolor
Adoption,,Dog,Intact Male,8 months,Pit Bull Mix,White/Blue
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,3 years,Cocker Spaniel Mix,Yellow
Return_to_owner,,Dog,Intact Male,4 weeks,Chihuahua Shorthair Mix,Tricolor
Return_to_owner,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog Mix,Buff/White
Euthanasia,Suffering,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Black
Return_to_owner,,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Black
Return_to_owner,,Dog,Spayed Female,7 years,Blue Lacy/Collie Smooth,Tricolor
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue
Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
Adoption,,Dog,Neutered Male,6 years,Miniature Poodle Mix,Buff
Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Chocolate/White
Euthanasia,Rabies Risk,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Spayed Female,2 years,Black/Tan Hound Mix,Black/Tan
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Medical,Cat,Neutered Male,8 years,Siamese Mix,Lynx Point
Transfer,Partner,Dog,Unknown,1 week,Labrador Retriever Mix,White
Return_to_owner,,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,White
Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Chocolate/White
Return_to_owner,,Dog,Spayed Female,11 years,Norfolk Terrier/Border Terrier,Cream
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White
Return_to_owner,,Dog,Neutered Male,2 years,Border Collie Mix,Black/White
Transfer,Partner,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black
Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Black
Euthanasia,Suffering,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
Adoption,,Dog,Spayed Female,10 months,Jack Russell Terrier Mix,Tricolor
Return_to_owner,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,7 years,Pit Bull Mix,Red/White
Return_to_owner,,Dog,Intact Male,3 years,Siberian Husky,Black/White
Return_to_owner,,Dog,Spayed Female,2 years,Scottish Terrier/Cairn Terrier,Black
Return_to_owner,,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Blue Tabby
Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Red
Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
Transfer,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Black
Adoption,Foster,Cat,Intact Male,3 months,Domestic Longhair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
Adoption,,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Tortie/White
Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby
Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Longhair Mix,Cream
Transfer,Partner,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,White
Return_to_owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow
Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Tricolor
Transfer,Partner,Dog,Intact Male,3 months,Pit Bull Mix,White/Brown
Return_to_owner,,Dog,Intact Female,10 years,Yorkshire Terrier Mix,Black/Tricolor
Return_to_owner,,Dog,Neutered Male,5 years,American Bulldog Mix,Tan
Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,7 years,Boxer,Brown/White
Return_to_owner,,Dog,Spayed Female,1 year,Miniature Poodle,Apricot
Adoption,,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Intact Female,3 years,Jack Russell Terrier Mix,White/Brown
Adoption,Foster,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Brown/Black
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
Return_to_owner,,Cat,Spayed Female,8 years,Russian Blue Mix,Blue
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/White
Return_to_owner,,Dog,Neutered Male,10 years,Doberman Pinsch,Black/Tan
Return_to_owner,,Cat,Neutered Male,4 months,Devon Rex Mix,Cream
Return_to_owner,,Dog,Neutered Male,3 years,Treeing Walker Coonhound Mix,Tricolor
Transfer,Partner,Dog,Intact Male,2 years,Australian Cattle Dog/Labrador Retriever,Black
Return_to_owner,,Dog,Spayed Female,8 years,Australian Cattle Dog Mix,Sable
Adoption,,Dog,Spayed Female,3 years,Yorkshire Terrier/Maltese,White/Gray
Adoption,,Dog,Neutered Male,9 months,Rhod Ridgeback/Labrador Retriever,Red/Tan
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
Euthanasia,Suffering,Dog,Unknown,9 years,Australian Cattle Dog/Chinese Sharpei,Tan/Brown
Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Plott Hound,Brown Brindle
Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Suffering,Cat,Intact Male,4 years,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Tan
Transfer,Partner,Dog,Intact Male,2 weeks,Pit Bull Mix,Brown/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
Adoption,,Cat,Neutered Male,10 years,Domestic Medium Hair Mix,Orange Tabby/White
Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Tricolor
Transfer,Partner,Cat,Neutered Male,6 years,Domestic Shorthair Mix,White/Cream Tabby
Transfer,Partner,Dog,Spayed Female,7 years,German Shepherd/Collie Rough,Brown/Black
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,5 years,Labrador Retriever Mix,Brown
Return_to_owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Black/White
Euthanasia,Suffering,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Black/White
Euthanasia,Suffering,Dog,Neutered Male,2 years,Labrador Retriever/Black Mouth Cur,Tan/White
Adoption,,Cat,Neutered Male,2 months,Snowshoe Mix,Lynx Point
Adoption,,Dog,Spayed Female,4 months,Chinese Sharpei/Airedale Terrier,Red
Euthanasia,Suffering,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Black
Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Return_to_owner,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,White/Black
Return_to_owner,,Dog,Neutered Male,3 years,Cardigan Welsh Corgi Mix,Tricolor
Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black
Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White
Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue/White
Died,In Kennel,Cat,Intact Male,3 weeks,Snowshoe Mix,Seal Point
Adoption,,Dog,Neutered Male,7 years,Harrier,Brown/Tricolor
Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Tortie
Adoption,,Dog,Spayed Female,4 years,Miniature Poodle/Dachshund,White/White
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby/White
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Tortie
Transfer,Partner,Dog,Intact Female,1 month,Australian Kelpie Mix,Black
Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Intact Female,1 month,German Shepherd Mix,Red
Transfer,Partner,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
Died,In Foster,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,White/Black
Adoption,,Dog,Spayed Female,12 years,Harrier Mix,Tricolor
Return_to_owner,,Dog,Neutered Male,2 years,Anatol Shepherd,Brown/Black
Return_to_owner,,Dog,Intact Male,9 months,American Staffordshire Terrier Mix,Fawn/White
Return_to_owner,,Dog,Spayed Female,9 years,Basset Hound Mix,White/Brown
Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Buff
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,5 months,Rottweiler Mix,Black/Brown
Adoption,,Dog,Spayed Female,4 months,Mexican Hairless Mix,Tan/Black
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
Transfer,Partner,Cat,Neutered Male,2 weeks,Domestic Shorthair Mix,Gray Tabby
Adoption,,Dog,Neutered Male,2 months,Redbone Hound Mix,Brown/Black
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
Transfer,Partner,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,2 years,Afghan Hound Mix,Tan/White
Return_to_owner,,Dog,Neutered Male,2 years,Pointer Mix,Brown/White
Return_to_owner,,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White
Adoption,,Dog,Spayed Female,2 months,Dachshund/Chihuahua Shorthair,Sable/White
Euthanasia,Aggressive,Dog,Intact Male,3 years,Pit Bull Mix,Blue Tiger/White
Return_to_owner,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/Brown
Adoption,,Dog,Neutered Male,8 months,Border Collie/Greyhound,Blue/White
Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Intact Female,1 month,Miniature Poodle Mix,Black/White
Adoption,,Dog,Spayed Female,1 year,Catahoula Mix,Yellow Brindle
Adoption,,Dog,Neutered Male,6 years,Swedish Vallhund Mix,Sable
Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,6 months,Australian Kelpie Mix,Black/Tan
Adoption,,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White
Transfer,Partner,Dog,Intact Female,2 weeks,Border Collie Mix,Black/White
Transfer,Partner,Dog,Neutered Male,2 years,Papillon/Border Collie,Black/White
Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie/White
Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Black
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
Transfer,Partner,Dog,Spayed Female,1 year,Miniature Schnauzer/Miniature Poodle,Gray
Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue/White
Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/German Shepherd,Tan
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
Euthanasia,Suffering,Dog,Intact Male,10 years,Cocker Spaniel,White/Tan
Adoption,,Dog,Spayed Female,2 years,Boxer Mix,White/Brown Brindle
Adoption,,Dog,Neutered Male,3 months,Border Collie Mix,Tan/White
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
Return_to_owner,,Dog,Neutered Male,7 years,Chow Chow Mix,Black
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
